Nome/Razão Social;Data de Publicação do Ato;Nome do Município;UF
CLOUD COMUNICACOES LTDA - ME;11/06/2014;Itapema;SC
ASCANIO CARACCIOLO ALVES DE SOUZA;27/01/2017;São Paulo;SP
I9 TELECOM RS LTDA.;30/10/2013;Dois Irmãos;RS
QUATRO IRMAOS COMERCIO E SERVICOS EM INFORMATICA E TELECOMUNICACOES LTDA ME ;03/08/2006;Pacajus;CE
FRANCIS E SANTOS TECNOLOGIA E INFORMATICA LTDA;15/10/2009;Campestre de Goiás;GO
UNIVERSO TECNOLOGIA LTDA - ME;26/02/2014;Mateus Leme;MG
MAX COMMUNICATION TELECOMUNICAÇÕES LTDA;25/08/2011;Penápolis;SP
FLAVIA NAYANE F. DE AQUINO - ME;06/02/2017;Fortaleza;CE
ADNLINK TECNOLOGIA EIRELI - ME;25/01/2012;Brasília;DF
NET PARAISO - TELECOMUNICAÇÕES LTDA EPP;31/10/2012;Américo Brasiliense;SP
SKYMAX TELECOMUNICAÇÕES LTDA - ME;13/08/2015;Santa Rosa de Viterbo;SP
YARA DOS SANTOS BARREIRO - ME;23/05/2013;Taboão da Serra;SP
AOKI, ALMINO E SANTOS LTDA - ME;17/09/2014;Coxim;MS
D.J. VIANA ALENCAR;21/08/2012;Teresina;PI
PRIMETEC PRESTADORA DE SERVICOS LTDA - ME;21/11/2016;Jandaia do Sul;PR
MP INFORMATICA TELECOM EIRELI - ME;30/11/2015;Serra;ES
INFINIT SERVICOS DE TELECOMUNICOES LTDA - ME;10/08/2016;Betim;MG
DINAMICA NETWORKS LTDA;20/08/2010;Bela Vista de Goiás;GO
S. R. DIAS ALVES - ME;22/08/2013;Gurupi;TO
FIBRA X TELECOM LTDA - ME;18/04/2017;Bambuí;MG
FABIANO NOGUEIRA MARTINS - ME;24/12/2014;Costa Rica;MS
LOPES & TINOCO LTDA - ME;29/12/2014;Santo Antônio da Platina;PR
H & M OLIVEIRA LTDA;17/05/2011;Agrestina;PE
C L ABREU DOS SANTOS - ME;31/01/2017;Fortaleza;CE
INPASUPRI COMERCIO DE SUPRIMENTOS DE INFORMATICA LTDA-ME;19/05/2010;Itapetinga;BA
KONNET TELECOMUNICAÇÕES EIRELI - EPP;30/11/2015;Governador Valadares;MG
VOOB TELECOM LTDA - EPP;15/04/2016;Ananindeua;PA
ABENET PROVEDORA DE ACESSO A INTERNET LTDA;25/10/2006;Jataí;GO
V & J NET COMERCIO E SERVICOS DE INFORMATICA LTDA - ME ;08/03/2012;São Paulo;SP
PONTONET - WIRILESS COMUNICAÇÃO MULTIMIDIA LTDA - ME;21/01/2015;Juazeiro;BA
SIM TELECOM LTDA - EPP;17/10/2008;Palmas;TO
ADENOR LUIZ GNOATTO;02/12/2013;Verê;PR
INTELINK COMUNICAÇÃO LTDA - ME;11/06/2014;Limeira;SP
OLIVETEC NET LTDA ;30/05/2011;Santo Estêvão;BA
CELLNET PROVEDOR DE ACESSO A REDES DE COMUNICACOES LTDA ME;28/04/2010;Rio de Janeiro;RJ
CANAL 27 COMUNICAÇÕES EIRELLI;06/12/2011;Brasília;DF
ODECIO L. OLIVEIRA - MULTIMIDIA  - ME;16/08/2016;São Paulo;SP
TIM S/A ;01/09/2003;Rio de Janeiro;RJ
PAULO HENRIQUE FREITAS SILVEIRA - ME;09/03/2017;Fortaleza;CE
ABM INFORMATICA E TELECOMUNICACOES LTDA - ME;28/05/2012;Maracás;BA
LUIS HERMANO LOBO CAVALCANTE - ME;06/09/2016;Lençóis;BA
COMPANHIA DE TELECOMUNICACOES E SOLUCOES - CELGTELECOM;10/07/2009;Goiânia;GO
A K DE SOUZA MARINHO - ME;11/02/2015;Apodi;RN
CLEITON E CLEBER LTDA;07/05/2012;Ouvidor;GO
CONECTMAIS COMUNICACOES LTDA;10/08/2010;Serra;ES
COMPLETA TELECOMUNICACOES LTDA;06/02/2017;São Paulo;SP
WAGZ TECNOLOGIA E INFORMATICA LTDA ME;06/02/2008;Feira de Santana;BA
ONDA DIGITAL MULT MIDIA LTDA-ME;05/05/2009;Corumbá;MS
NETSITE SHOP TECNOLOGIA LTDA;16/04/2018;Bauru;SP
VERO TELECOMUNICACOES LTDA - ME;06/07/2017;São Paulo;SP
CARLOS HENRIQUE SANTOS DE OLIVEIRA ME;02/04/2013;Fortaleza;CE
RAFAEL FARIA FERRAZ - ME;23/06/2010;Nova Alvorada do Sul;MS
LUIZ CARLOS KERN;26/12/2014;Tapera;RS
ARNEIRO SISTEMA DE SEGURANCA E TELECOMUNICACOES LTDA ME;20/02/2009;Comendador Levy Gasparian;RJ
CAMALEÃO NETWORK LTDA;22/12/2009;Ribeirão Bonito;SP
CONEXTERA TELECOMUNICACOES E SOLUCOES TECNOLOGICAS LTDA. - EPP;22/03/2010;São Paulo;SP
CONNECT SERVICOS DE INTERNET LTDA - ME;13/03/2017;Russas;CE
FERNANDO NOGUEIRA SALES - ME;21/12/2010;Manaus;AM
C 2 TELECOMUNICACAO LTDA - ME;06/09/2017;Indiavaí;MT
SCIENTIA TELECOMUNICACOES E TI LTDA ME;29/11/2005;Niterói;RJ
SIMPLES COM SOLUCOES EM INTERNET LTDA - ME;30/10/2014;Joinville;SC
LRF CONECTIONS SERVIÇOS LTDA ME;11/09/2015;São Gonçalo;RJ
INET PRO DISTRIBUICAO DE DADOS LTDA.;20/06/2011;Ibotirama;BA
ANNA GLAUBIA RODRIGUES NUNES - ME;30/11/2015;Madalena;CE
TWF NET PROVEDOR DE INTERNET EIRELI - ME;09/03/2017;Concórdia;SC
VGP INTERNET LTDA;16/04/2010;Virginópolis;MG
NETVIZIN & NAVEGUENET TELECOMUNICACOES LTDA ME;20/08/2010;São José do Rio Preto;SP
BRAZNET TELECOMUNICAÇÕES EIRELI - ME;28/04/2015;Pouso Alegre;MG
VOGEL SOLUCOES EM TELECOMUNICACOES E INFORMATICA S.A.;03/03/2008;São Paulo;SP
SEM LIMITE COMUNICAÇOES LTDA - ME;10/08/2010;Guarulhos;SP
ZENNET COMUNICACAO DIGITAL E INFORMATICA;23/05/2016;Maricá;RJ
FARIAS & GNASS LTDA - ME;22/02/2016;Candói;PR
SPINT PROVEDOR DE INTERNET LTDA;05/08/2008;Pilar do Sul;SP
AW PROVEDOR LTDA - ME;24/12/2014;Brasilândia de Minas;MG
V & R TELECOM LTDA - EPP;28/03/2016;São Caitano;PE
TRIP TECNOLOGIA LTDA ME;01/12/2009;Estrela;RS
ZAP SERVICE LTDA - ME;03/05/2017;São Luís;MA
P H DE OLIVEIRA SANTOS SERVICOS E COMERCIO DE MULTIMIDIA - EIRELI  - ME;14/02/2017;Manaus;AM
PERSONAL LINK COMUNICACOES LTDA;29/12/2014;Curitiba;PR
WAGNER RAFAEL ECKERT - ME;11/07/2014;Marechal Cândido Rondon;PR
GBNET TELECOM LTDA - ME;03/12/2015;Maracanaú;CE
NETCOM COMERCIO DE PRODUTOS PARA INFORMATICA LTDA - ME;18/09/2015;Novo Repartimento;PA
RAPHAEL CAVALCANTI DOS SANTOS TELECOMUNICACOES - ME;29/03/2017;Recife;PE
WEBLINE TELECOMUNICA  ES COMERCIO, SERVI OS E PROVEDOR DE ACESSO LTDA  - ME;29/09/2016;João Pessoa;PB
GLOBAL NET INFORMATICA LTDA - ME;21/01/2013;Quarto Centenário;PR
QUEIROZ E SOUZA SERVIÇOS DE TELECOMUNICAÇÃO MULTIMÍDIA LTDA ME;18/12/2012;Campo Mourão;PR
UBBINET PROVEDOR DE SERVIÇOS DE INTERNET LTDA - ME;20/06/2016;São Fidélis;RJ
CLICKCEDRO PROVEDOR DE INTERNET E COMUNICACAO MULTIMIDIA LTDA  - ME;26/07/2016;Cedro;CE
CM - INFORMATICA LTDA;13/04/2007;Valinhos;SP
NAJANET TECNOLOGIA EM TRANSPORTES DE DADOS EIRELI;08/04/2015;Flores da Cunha;RS
ALYSSON FERNANDES DE MATOS;03/08/2016;João Pessoa;PB
T-ZERO TELEFONIA BASE ZERO LTDA;08/07/2015;Rio de Janeiro;RJ
W. L. S. DOS SANTOS TELECOM E INFORMATICA - ME;05/05/2014;Curitiba;PR
ALESSANDRA CRISTINA SOUZA OLIVEIRA - ME;28/06/2016;José Raydan;MG
ITANA GABRIELA DO NASCIMENTO BEZERRA 073021884483 - ME;10/12/2013;Monteiro;PB
REDE CONNECT - SISTEMAS DE REDE E TELECOMUNICAÇÕES LTDA ;03/06/2011;São Paulo;SP
CRISTIANO BARBOZA DE MELO;22/12/2016;Marechal Deodoro;AL
MINAS INFO LTDA. - ME;18/12/2013;Poço Verde;SE
CAMOCIM SERVIÇO DE INTERNET LTDA;05/12/2005;Camocim;CE
INFOVARZ LTDA;30/11/2015;Varzelândia;MG
BRASIL TURBONET LTDA - ME;04/01/2017;Goiânia;GO
EWELSON CARLINHOS FERREIRA BRAGANCA - ME;06/11/2015;Brasilândia de Minas;MG
CIABRASNET CENTRAL BRASILEIRA DE INTERNET LTDA.;15/10/2009;Porto União;SC
KCG COMUNICACAO, EQUIPAMENTOS DE SEGURANCA E ELETRONICOS LTDA - ME ;22/10/2010;Caldas Novas;GO
SUPERA INFORMATICA LTDA - ME;13/04/2017;Porangatu;GO
AUGUSTO DE AZEVEDO COELHO - ME;31/05/2017;Gravataí;RS
AGILTEC COMERCIO E MANUTENCAO DE EQUIPAMENTOS DE INFORMATICA LTDA - ME;20/06/2011;Joinville;SC
POLOTEL TELECOM LOCAÇÃO E DESENVOLVIMENTO DE SITES LTDA - ME;25/08/2011;Guarujá;SP
R L DA COSTA - ME;31/01/2017;Fortaleza;CE
GR INFORMATICA LTDA;10/08/2010;Arvorezinha;RS
TOTAL TECNOLOGIA SERVICOS E COMERCIO LTDA;17/09/2013;Rio Verde;GO
R L DE ARAUJO INFORMATICA - ME;22/08/2016;Indiaporã;SP
ABERIVALDO LEITE DA ROCHA;30/03/2016;São Miguel dos Campos;AL
AVATO TECNOLOGIA LTDA;23/06/2010;Santa Maria;RS
SILVEIRA E SOUZA COMERCIO E INSTALACOES DE EQUIPAMENTOS ELETRONICOS LTDA - ME;31/10/2016;Iguaba Grande;RJ
LEANDRO ANTONIO - ME;03/11/2016;Novo Mundo;MT
S A PEREIRA PROVEDORES DE ACESSO AS REDES DE COMUNICACOES EIRELI  - ME;23/02/2017;Extremoz;RN
SAO MIGUEL TELECOMUNICAÇÕES E INFORMÁTICA LTDA - ME;24/05/2013;Castanhal;PA
OLHAR DIGITAL TECNOLOGIA LTDA - ME;02/09/2014;Campinorte;GO
HIPERLINK PROVEDOR DE INTERNET LTDA - ME;17/12/2015;Paraipaba;CE
SPEED WIRELESS SERVICOS DE COMUNICACAO MULTIMIDIA LTDA - ME ;18/07/2014;Manaus;AM
LAZERNET.COM.BR LTDA - ME ;04/02/2010;Mirassolândia;SP
WAVE TELECOM LTDA;05/08/2008;Manaus;AM
OPCAONET INFORMATICA LTDA - ME;25/05/2007;Nova Santa Rosa;PR
TOPMEGA INTERNET E INFORMÁTICA LTDA - ME;21/05/2014;Biguaçu;SC
INFOPARDALL LTDA ME;28/04/2010;Balneário Piçarras;SC
CONECTEC NET LTDA - ME;07/03/2016;São Luís;MA
NET MAXI SERVIOS DE TELOECOMUNICAÇÕES LTDAS - ME;21/02/2013;Porto Alegre;RS
CONECTAW TELECOM LTDA - ME;07/12/2015;Bandeirantes;PR
PROVEDOR SPEED TELECOMUNICACOES LTDA - ME;08/07/2016;Russas;CE
KBPS TELECOM EIRELI - ME;11/08/2016;Tangará da Serra;MT
MULTNET TELECOM LTDA - ME;09/01/2018;Massapê;CE
NETWORK INFORMATICA LTDA. - ME;25/01/2012;Poté;MG
LAVRASNET SERVICOS DE PROVEDOR DE INTERNET LTDA - ME;01/12/2016;Lavras;MG
BRASILNET TELECOMUNICAÇÕES DO PARANÁ LTDA ME;18/02/2014;Cornélio Procópio;PR
VIANET GUARACIAMA EIRELI - ME;03/01/2017;Guaraciama;MG
REDAUT SERVIÇOS DE TELECOMUNICAÇÕES LTDA - ME;04/02/2016;Balneário Camboriú;SC
OTIMA TELECOMUNICACOES LTDA. - ME;06/07/2009;Cachoeiro de Itapemirim;ES
JOÃO AUGUSTO VASCONCELOS MAIA & CIA LTDA - ME;07/11/2014;Cláudio;MG
HPG TURBAONET EIRELI - ME;31/10/2012;Aparecida de Goiânia;GO
ARYANE MARA TUZINO KRUSZYNSKI PROVEDOR DE INTERNET - ME;04/08/2011;Miracatu;SP
SUPRY NET COMÉRCIO DE PEÇAS E SERVIÇOS DE INFORMÁTICA LTDA - ME;30/11/2015;Nossa Senhora das Dores;SE
Adriano da Silva Itaberá - ME;07/10/2015;Itaberá;SP
WIDEWAY DO BRASIL EIRELI;29/07/2004;Franca;SP
NOVAS VIAS TECNOLOGIA DA INFORMACAO LTDA;04/02/2010;Posse;GO
EFERNANDES HERMOGENES MULTIMIDIA - ME;15/03/2016;São João da Barra;RJ
FK NET WIRELESS TELECOMUNICAÇÕES - EIRELI - EPP;17/10/2016;Imbé;RS
PABLO SCHNITZLER LAGO - ME;24/07/2015;Ponta Grossa;PR
JOSIEL LUCIANO DE OLIVEIRA - ME;17/11/2016;Santa Rita;PB
ROBISON ROSA DA SILVA ME;14/02/2008;Imbituba;SC
UTINGA ELETRO INFORMATICA COMERCIAL LTDA - ME;14/07/2014;Utinga;BA
MEGA GRUPO DE TELECOMUNICACOES LTDA;16/06/2008;Afonso Cláudio;ES
NADIEL DO AMARAL SANTOS EIRELI ME;25/09/2012;Belo Jardim;PE
A. V. DOS SANTOS JUNIOR - INTERNET;30/08/2010;Cianorte;PR
RONALDO RICARDO DOS SANTOS - ME;03/05/2017;Itapissuma;PE
SOL  TELECOM  COMERCIO  DE TELEFONIA  LTDA - ME;02/06/2017;Canindé;CE
THIAGO HENRIQUE FERNANDEZ QUINTIAN MACIEL EIRELE - ME;06/11/2015;Avelinópolis;GO
TPA TELECOMUNICAÇÕES LTDA - EPP;18/07/2006;Timbó;SC
CLICKCONNECT SOLUCOES EM INTERNET E TECNOLOGIA LTDA ;06/09/2011;Taquara;RS
E P JUNIOR REDES E INFORMÁTICA;27/02/2013;Anápolis;GO
LOBINHO SERVICOS MULTIMIDIA LTDA - ME;18/04/2017;Garuva;SC
MOBY TELECOM TELECOMUNICACOES EIRELI - ME;13/02/2017;Belo Horizonte;MG
FAST FIBRA TELECOM LTDA ME - ME;02/09/2013;Rio do Sul;SC
L & C TELECOMUNICACOES LTDA;22/01/2008;Torres;RS
MELO TELECOMUNICACOES LTDA - ME;16/01/2008;Jaraguá;GO
TSS SOFTWARE LTDA - ME ;25/08/2011;Loanda;PR
NET - SALTO PROVEDOR DE ACESSO A INTERNET LTDA. - ME;24/01/2014;Salto;SP
THIELKE & CIA LTDA;28/06/2010;Toledo;PR
MEGABIT PROVEDOR DE INTERNET EIRELI - EPP;10/10/2016;Osasco;SP
TELVOXX SOLUCOES TECNOLOGICAS LTDA;31/10/2016;São Paulo;SP
ARACI BURGIN MARCIANO CAMPARA;24/03/2011;Santiago;RS
EC. SOLUÇÕES TECNOLOGICAS LTDA - ME;12/04/2011;Criciúma;SC
M.A. LOBO EIRELI - ME;15/04/2014;Acará;PA
CLAITON CABREIRA - ME;02/06/2017;Guaíba;RS
CIDICLEI BRUNELI NICOMEDES - ME;27/09/2017;Pedro Canário;ES
J. ELVIS FROTA - ME;27/02/2013;Araripe;CE
DESBRAVADOR TELECOMUNICACOES LTDA.;14/02/2008;Chapecó;SC
LUCIO SALVIANO DE OLIVEIRA IPIRANGA - ME ;22/04/2015;Ipiranga;PR
NEOREDE TELECOMUNICAÇÃO LTDA;27/03/2009;Biguaçu;SC
GOOFIBER TELECOMUNICAÇÕES LTDA - ME;09/05/2016;Várzea Paulista;SP
JGM BRASIL TELECOMUNICACOES LTDA ME;28/12/2007;Brusque;SC
KATIA LUCIA BARBOSA DOS SANTOS - ME;25/11/2013;João Pessoa;PB
ISOTELCO LTDA - EPP;07/06/2010;Marabá;PA
FRAGA & SATIM LTDA - ME;16/12/2015;Dourados;MS
O. S. J. NET LTDA - ME;19/03/2014;Campina da Lagoa;PR
W O DA SILVA - ME;29/07/2014;Brasília;DF
REALTELE  TELECOMUNICAÇÕES LTDA;28/02/2012;Corbélia;PR
EXTREME COMUNICACAO E MULTIMIDIA LTDA - ME;04/07/2016;Sorriso;MT
AGILE SISTEMAS - SOLUCOES EM TECNOLOGIA LTDA - ME;28/11/2016;São Leopoldo;RS
MARIA JOSE SABINO DA SILVA;03/05/2017;Maceió;AL
RIO CABLE SERVICOS DE TELECOMUNICACOES LTDA ME;17/11/2010;Macuco;RJ
MARZO & MARZO - INFORMÁTICA E INTERNET LTDA.- ME;24/03/2011;Agudos;SP
STAR LYNK INTERNET E INFORMATICA LTDA - ME;31/01/2017;Navegantes;SC
QUALIDADE DIGITAL INTERNET E TELECOMUNICAÇÕES LTDA - ME;06/02/2015;Baixo Guandu;ES
VIA RADIO NET COMUNICACOES LTDA - ME;21/03/2016;Maracaju;MS
CARLOS ALEXANDRE AGE NETTO;03/05/2017;Rio de Janeiro;RJ
JOSE ESLEI DE JESUS SANTOS;28/05/2015;Santo Amaro das Brotas;SE
NETFOR TELECOMUNICACOES GLOBAIS LTDA;03/11/2009;Formiga;MG
COMUNICACAO MULTIMIDIA DO BRASIL SOCIEDADE LIMITADA;21/03/2007;Fortaleza;CE
S M CORDEIRO DE MIRANDA INFORMÁTICA - ME;02/12/2015;Fortaleza;CE
E S SOUSA JUNIOR ME;27/01/2010;Congonhas;MG
JOSENILDO FERREIRA DO NASCIMENTO - ME;01/09/2017;Igarassu;PE
DIGITAL NET INFORMATICA MG LTDA - ME;27/06/2017;Tombos;MG
WAGNO MARTINS - WVIRTUAL.NET SERVICOS - ME;13/07/2009;Serra;ES
W J T  DA SILVA COMERCIO E SERVICOS - ME;08/06/2017;Juína;MT
MA SOLUCOES EM TECNOLOGIA LTDA - ME;22/04/2015;Vacaria;RS
M. V. MARTIN & CIA LTDA;13/07/2006;Santa Cruz do Sul;RS
GIGATEC SERVICOS LTDA - ME;17/11/2016;São Cristóvão;SE
CLEYTON MOISES LUIZ CORDEIRO - ME;27/05/2014;Cananéia;SP
IVANILDO MENEZES DE CARVALHO - ME;20/11/2015;Ibirapitanga;BA
R. GEUCIANY B. DE OLIVEIRA - ME;16/08/2017;Coari;AM
J.VIEIIRA DE LUCENA - ME;14/02/2017;Catarina;CE
GTR NET COMUNICAÇÕES EIRELI;18/05/2015;Horizonte;CE
JEFERSON RAMON DE OLIVEIRA MELO - ME;03/12/2014;Salgueiro;PE
Sothis Técnologia e Serviços de Telecomunicações Ltda;09/07/2010;São Paulo;SP
RT2 TELECOM E ENGENHARIA LTDA  - ME;14/11/2016;Foz do Iguaçu;PR
NEPOMUCENO E TOCHETTO TELECOMUNICACOES LTDA;07/11/2008;Lagoa Vermelha;RS
OLISNEI NASCIMENTO CONCEICAO - ME;28/02/2012;Manaus;AM
ALL-NET SOLUCOES EM INTERNET E INTRANET LTDA;26/06/2009;Cassilândia;MS
INFOARCOS TELECOM EIRELI - ME;26/09/2017;Arcos;MG
TCE TELECOMUNICAÇÕES E COMÉRCIO LTDA;18/07/2006;Belo Horizonte;MG
IVANILDO JUNIOR E IDALECIO RIBEIRO ARTIGOS DE INFORMÁTICA LTDA - ME;22/11/2012;Recife;PE
LEONARDO DE LEMOS;06/09/2016;Caçu;GO
6 P TELECOM LTDA;02/09/2009;Primeiro de Maio;PR
PHASE PROJETOS E SERVICOS DE ENGENHARIALTDA;16/06/2014;Ananindeua;PA
M.C.R. CAMPOS INFORMATICA E TELECOMUNICAÇOES - ME;15/04/2015;Campos dos Goytacazes;RJ
L. C. DE CARVALHO CARNEIRO ME;29/08/2014;Alto Araguaia;MT
TECNOSUL PROVEDOR DE INTERNET LTDA - ME;07/06/2017;Nova Santa Rita;RS
ICONNECT SERVICOS DE TELECOMUNICACAO LTDA - ME;28/11/2016;Santa Fé do Sul;SP
MEGANET RJ INFORMÁTICA E TELECOMUNICAÇÕES LTDA;24/03/2011;Trajano de Moraes;RJ
CONECTA MINAS TELECOM LTDA - EPP;21/09/2011;Mariana;MG
IDL SERVICOS EIRELI - ME;24/11/2016;Campo Grande;MS
I2 TELECOM - MANUTENCAO E SERVICOS DE INFORMATICA LTDA - ME;03/05/2017;Jandaíra;RN
CLINIC INFORMATICA LTDA;14/10/2008;Goiânia;GO
M. R. M. DA SILVA - ME;28/04/2015;Reriutaba;CE
INTERVIP INFORMATICA LTDA. ME;21/01/2003;Vitória;ES
TR SERVIÇOS DE TELECOMUNICAÇÕES LTDA - ME;20/07/2016;Três Rios;RJ
RADIUM TELECOMUNICACOES LTDA - EPP;18/08/2016;Jaboatão dos Guararapes;PE
F. L. CAHUE DE OLIVEIRA - INFORMATICA - ME;22/11/2016;Magé;RJ
SAO PAULO NET TELECOMUNICACAO EIRELI - ME;13/10/2016;São Bernardo do Campo;SP
CLICK NET BRASIL ENGENHARIA E TELECOMUNICAÇÃO LTDA;28/07/2010;Brasília;DF
R. C. ALMEIDA DA SILVA - ME;08/09/2014;Araripina;PE
NET MARK TELECOM PROVEDOR DE INTERNET LTDA - ME;22/02/2013;Picuí;PB
I100 SERVICOS DE INFORMATICA LTDA;30/08/2010;Icém;SP
DJNET COMUNICAÇÕES LTDA;16/04/2010;Monte Santo de Minas;MG
ROCHA & CABREIRA LTDA - ME;23/07/2015;Itaporã;MS
ANDRE EDUARDO INCAO 17290548892;26/09/2016;Ubatuba;SP
M A INFORMATICA LTDA;03/04/2009;Itaipulândia;PR
LINNET PROVEDOR DE INTERNET EIRELI  - ME;07/12/2016;João Pessoa;PB
LOURDES M. GUARNIERI - ME;18/05/2017;Lajeado;RS
NET 11 TECNOLOGIA EIRELI - EPP;17/02/2016;Marau;RS
SETORIAL TELECOMUNICACOES LTDA - ME;17/11/2015;Goianápolis;GO
W SAT CONNECTION TELECOMUNICAÇÕES   LTDA;15/08/2012;Nova Iguaçu;RJ
D. S. MENDES - NETWORK;11/06/2010;Aparecida de Goiânia;GO
RANIELSON GUIMARAES DA CUNHA ME;19/11/2015;Macau;RN
WIFI TECNOLOGIA E INFORMAÇÃO LTDA ME;18/12/2012;Uruará;PA
INTERTELCO TELECOMUNICAÇÕES MULTIMIDIA LTDA;04/12/2006;São Paulo;SP
FASTNET COMUNICAÇÃO EIRELI - ME;29/09/2015;Santo André;SP
L.E.F. WEB CONEXOES LTDA - ME;31/10/2016;Rio de Janeiro;RJ
RAMON MASCARENHA REIS - ME;10/11/2017;Coroatá;MA
DONATO JUNIOR & CIA LTDA - ME ;04/02/2015;Jaciara;MT
ATIVA COMUNICAÇÃO MULTIMÍDIA LTDA - ME;11/08/2015;Cabreúva;SP
T G M ROSA INFORMÁTICA E INTERNET - ME;12/11/2015;Sertãozinho;SP
BRASIL CARRIER SERVICOS DE COMUNICACAO MULTIMIDIA EIRELI - ME;23/02/2017;Pelotas;RS
LUP TELECOMUNICAÇÕES LTDA;22/02/2012;Belo Horizonte;MG
RF TV A CABO LTDA;10/07/2008;Avaré;SP
RAYNET TELECOMUNICAÇÕES LTDA;14/06/2012;Coronel Bicaco;RS
LIVECOM SERVIÇOS E COMERCIO VAREJISTA DE EQUIPAMENTOS DE INFORMATICA LTDA -ME;12/08/2015;Rio de Janeiro;RJ
ACESSO NET SERVICOS LTDA - EPP;03/11/2016;Santo André;SP
ELIANA ALVES SILVA & CIA LTDA ME;18/09/2012;Santo Estêvão;BA
GUERREIRO YAMADA PROVEDOR DE INTERNET LTDA ME;07/11/2014;Chapadão do Sul;MS
WIPY - COMÉRCIO E SERVIÇOS DE TELEINFORMÁTICA LTDA;09/02/2011;São Luís;MA
PROVARR PROVEDOR DE INTERNET LTDA -ME;22/06/2009;Duque de Caxias;RJ
WZ TELECOM SERVICOS DE INTERNET EIRELI - ME;26/08/2016;Campo Novo do Parecis;MT
O L I TELECOMUNICACOES LTDA;23/06/2010;Mandaguari;PR
MARCIO ALEXANDRE FARIAS DA SILVA - ME;22/09/2009;São João do Paraíso;MG
JAIME VEZARO & CIA LTDA - ME;08/07/2015;Novo Hamburgo;RS
VELOCITYNET TELECOM EIRELI - EPP;17/03/2017;Parauapebas;PA
VIVA TECNOLOGIA TELECOM LTDA - ME;03/08/2016;Camaçari;BA
FORMATTO NET LTDA - ME;08/09/2008;Videira;SC
UNIÃO NETWORKS TELECOM LTDA - ME;12/08/2014;Suzano;SP
WD PRODUTOS E SERVICOS TECNOLOGICOS LTDA;02/04/2012;Horizontina;RS
GILMAR DOS SANTOS & CIA. LTDA.;04/02/2009;Terra Rica;PR
WISPNET TECNOLOGIA DA INFORMACAO LTDA ;20/08/2010;Viamão;RS
MARCONI FRANCISCO BEZERRA - ME;29/07/2016;Monsenhor Hipólito;PI
JOAO MATEUS DOS SANTOS & CIA LTDA-ME;17/02/2016;Feliz Natal;MT
OWEN IT SERVICES LTDA - ME;31/08/2016;Brasília;DF
LUPERCIO MIGUEL FIGUEIREDO & CIA LTDA - ME;05/11/2009;Bataguassu;MS
BEST WEB SERVICOS DE TELECOMUNICACOES LTDA - ME;08/07/2016;Caucaia;CE
KILDARY MELO GOIS ME;11/03/2015;Apuiarés;CE
LUIZ LIMA E CIA LTAD - ME;06/02/2015;Icaraíma;PR
MAX TELECOM LTDA - ME;16/07/2015;Luziânia;GO
EDILDE MENEZES NORONHA - ME;12/11/2014;Salvador;BA
RODRIGUES E MACEDO LTDA - ME;17/04/2014;Imperatriz;MA
ECONNET.COM LTDA ME;19/11/2008;São Luís de Montes Belos;GO
AMERICA PROVEDOR DE INTERNET LTDA - EPP;19/06/2017;Itajubá;MG
GMAES TELECOM LTDA-ME;13/05/2016;Itajaí;SC
SUDOESTE TELECOM LTDA - ME;17/11/2010;Jequié;BA
HENRIQUE ESDRAS DOS SANTOS - ME;11/03/2015;Areiópolis;SP
VMNET COMERCIO E SERVIÇO DE INFORMATICA LTDA ME;26/02/2007;Trairi;CE
WILLIAN JOHN LEMES DE OLIVEIRA  ME;25/01/2012;Xaxim;SC
BANDA A TELECOMUNICAÇÕES LTDA - ME;19/11/2015;Goiânia;GO
BRICK TELECOMUNICAÇÕES LTDA - ME;19/03/2015;Gaspar;SC
CARANGOLA TELECOMUNICAÇÕES LTDA;10/06/2009;Carangola;MG
DL INFORMATICA LTDA;11/10/2011;São Gonçalo do Sapucaí;MG
CONNECT SERVIÇO DE ACESSO INTERNET LTDA;05/08/2004;Montes Claros;MG
INTERVALE INFORMATICA LTDA. - EPP.;11/06/2010;Guaratinguetá;SP
INFOWORLD TELECOMUNICACOES LTDA;03/04/2009;João Ramalho;SP
WIFIBRA TELECOM EIRELI - ME;09/08/2017;Belo Horizonte;MG
MIGUEL LIMA DE ALMEIDA - ME;01/12/2016;Mucambo;CE
IFASTNET PROVEDOR DE INTERNET EIRELI - ME;04/01/2017;Assis;SP
OK ITAOCARA PROVEDOR INTERNET LTDA - ME;12/11/2015;Itaocara;RJ
TOP CONNECT TECNOLOGIA LTDA - ME;19/01/2016;Itaitinga;CE
FACNET - TELECOMUNICACOES LTDA ME;08/06/2011;Aparecida do Taboado;MS
WGO TELECOMUNICACOES LTDA-ME;21/01/2008;Catalão;GO
ITS SOLUTION- PROVEDOR E TECNOLOGIA LTDA - ME;21/11/2016;Eusébio;CE
Rede Winet Provedor de Internet LTDA - ME;24/08/2015;Guarulhos;SP
INTERPONTE INFORMATICA LTDA - ME;09/07/2010;Ponte Nova;MG
GEORGE RODRIGUES NOBRE - ME;26/07/2016;Delmiro Gouveia;AL
J & J TELECOMUNICAÇÕES LTDA - ME;12/08/2015;Nova Venécia;ES
CRISTIANO NUNES DA SILVA - ME;08/01/2013;Mineiros;GO
NOVA LINK CAXIAS TELECOM LTDA;20/02/2009;Duque de Caxias;RJ
